Unclassified	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subspecies	No. Peptides	Spectral Count (Krona)	
	Unknown Superkingdom	Unknown Kingdom	Unknown Phylum	Unknown Class	Unknown Order	Unknown Family	Unknown Genus	Unknown Species	Unknown Subspecies	188	252	
	Bacteria	Unknown Kingdom	Unknown Phylum	Unknown Class	Unknown Order	Unknown Family	Unknown Genus	Unknown Species	Unknown Subspecies	3	3	
	Bacteria	Unknown Kingdom	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	Fusobacterium nucleatum 13_3C	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva	Abiotrophia defectiva ATCC 49176	1	1	
	Bacteria	Unknown Kingdom	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Unknown Genus	Unknown Species	Unknown Subspecies	2	2	
	Bacteria	Unknown Kingdom	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 171 str. F0337	1	1	
	Bacteria	Unknown Kingdom	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum subsp. polymorphum ATCC 10953	Fusobacterium nucleatum subsp. polymorphum	3	3	
	Bacteria	Unknown Kingdom	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. CAG:709	Unknown Subspecies	1	1	
	Bacteria	Unknown Kingdom	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unknown Species	Unknown Subspecies	28	45	
	Bacteria	Unknown Kingdom	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Unknown Species	Unknown Subspecies	2	2	
	Bacteria	Unknown Kingdom	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	Unknown Subspecies	3	4	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella adiacens	Granulicatella adiacens ATCC 49175	2	2	
	Bacteria	Unknown Kingdom	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Unknown Species	Unknown Subspecies	1	2	
	Bacteria	Unknown Kingdom	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Filifactor	Filifactor alocis	Filifactor alocis ATCC 35896	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unknown Species	Unknown Subspecies	3	3	
	Bacteria	Unknown Kingdom	Firmicutes	Unknown Class	Unknown Order	Unknown Family	Unknown Genus	Unknown Species	Unknown Subspecies	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella sp. CAG:933	Unknown Subspecies	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Unknown Species	Unknown Subspecies	12	18	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis	Unknown Subspecies	4	7	
	Bacteria	Unknown Kingdom	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum subsp. vincentii ATCC 49256	Fusobacterium nucleatum subsp. vincentii	1	2	
	Bacteria	Unknown Kingdom	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Histophilus	Histophilus somni	Haemophilus somnus 129PT	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus fusiformis	Lysinibacillus fusiformis ZC1	1	2	
	Bacteria	Unknown Kingdom	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens	Unknown Subspecies	1	4	
	Bacteria	Unknown Kingdom	Actinobacteria	Actinobacteria	Unknown Order	Unknown Family	Unknown Genus	Unknown Species	Unknown Subspecies	1	1	
	Bacteria	Unknown Kingdom	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Unknown Genus	Unknown Species	Unknown Subspecies	1	1	
	Bacteria	Unknown Kingdom	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Runella	Runella slithyformis	Runella slithyformis DSM 19594	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Bacillales	Unknown Family	Gemella	Gemella haemolysans	Unknown Subspecies	1	1	
	Bacteria	Unknown Kingdom	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Unknown Genus	Unknown Species	Unknown Subspecies	1	1	
	Bacteria	Unknown Kingdom	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens	Eikenella corrodens ATCC 23834	1	1	
	Bacteria	Unknown Kingdom	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae	Haemophilus parainfluenzae ATCC 33392	1	1	
	Bacteria	Unknown Kingdom	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Prevotella sp. oral taxon 473	Prevotella sp. oral taxon 473 str. F0040	2	2	
	Bacteria	Unknown Kingdom	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter segnis	Aggregatibacter segnis ATCC 33393	4	6	
	Bacteria	Unknown Kingdom	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis	Streptococcus sanguinis VMC66	1	1	
	Bacteria	Unknown Kingdom	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Unknown Species	Unknown Subspecies	1	1	
	Bacteria	Unknown Kingdom	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	Fusobacterium nucleatum ChDC F128	3	5	
