og	gos
COG0194	GO:0016301,GO:0016740,GO:0003824,GO:0016772,GO:0016776,GO:0019201,GO:0019205,GO:0004385,GO:0005488,GO:0000166,GO:1901363,GO:1901265,GO:0097159,GO:0036094,GO:0043167,GO:0032549,GO:0017076,GO:0005524,GO:0032559,GO:0032555,GO:0032550,GO:0032553,GO:0035639,GO:0043168,GO:0030554,GO:0001883,GO:0001882,GO:0009987,GO:0008152,GO:0044237,GO:0006796,GO:0006793,GO:0016310,GO:0071704,GO:0044238,GO:0046483,GO:0006807,GO:1901360,GO:0006139,GO:0006725,GO:0034641,GO:0044281,GO:0044710,GO:0055086,GO:0006753,GO:0019637,GO:0009117,GO:0046939,GO:0072521,GO:1901564,GO:0006163,GO:0065007,GO:0050789,GO:0050794,GO:0044699,GO:0044763,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737,GO:0016020,GO:0071944
COG0154	GO:0003824,GO:0016884,GO:0016874,GO:0016879,GO:0005488,GO:1901363,GO:0097159,GO:0043167,GO:0000166,GO:0043168,GO:1901265,GO:0036094,GO:0032549,GO:0017076,GO:0005524,GO:0032559,GO:0032555,GO:0032553,GO:0035639,GO:0030554,GO:0001883,GO:0001882,GO:0032550,GO:0050567,GO:0016787,GO:0016740,GO:0016810,GO:0016811,GO:0004040,GO:0008152,GO:0009987,GO:0071704,GO:0044237,GO:0044238,GO:0009058,GO:0044249,GO:0043170,GO:0044260,GO:1901576,GO:0006412,GO:0010467,GO:0034645,GO:0009059,GO:0019538,GO:0044267
COG0712	GO:0003824,GO:0016887,GO:0005215,GO:0022857,GO:0042625,GO:0042626,GO:0016820,GO:0042623,GO:0015077,GO:0015399,GO:0022804,GO:0016787,GO:0008324,GO:0017111,GO:0022891,GO:0022890,GO:0016818,GO:0022892,GO:0043492,GO:0016817,GO:0019829,GO:0015075,GO:0016462,GO:0015078,GO:0015405,GO:0044769,GO:0046933,GO:0009987,GO:0044710,GO:0008152,GO:0044237,GO:0009167,GO:0009161,GO:0009199,GO:0046483,GO:0009205,GO:0046128,GO:1901564,GO:0034641,GO:0006163,GO:0019637,GO:0044281,GO:0009141,GO:0009144,GO:0006807,GO:0015992,GO:0009259,GO:0009150,GO:0006753,GO:0009123,GO:0009126,GO:0006139,GO:0042278,GO:0006810,GO:0006725,GO:0055086,GO:1901135,GO:0072521,GO:1901360,GO:0071704,GO:0046034,GO:0009117,GO:0009116,GO:0009119,GO:0044238,GO:0019693,GO:1901657,GO:0006796,GO:0006793,GO:0044699,GO:0006811,GO:0015986,GO:0044763,GO:0051234,GO:0055085,GO:0044765,GO:0051179,GO:0006812,GO:0006818,GO:0015672,GO:0034220,GO:0046434,GO:0009166,GO:0009164,GO:0046130,GO:0009169,GO:0009207,GO:0009203,GO:0019439,GO:0042454,GO:1901565,GO:0009143,GO:0009146,GO:0006195,GO:1901575,GO:0006200,GO:1901361,GO:0009158,GO:0009154,GO:0009261,GO:0034655,GO:0046700,GO:0044270,GO:1901292,GO:0006754,GO:0044248,GO:0009128,GO:0009125,GO:1901136,GO:0072523,GO:0006152,GO:0009056,GO:1901658,GO:0009165,GO:0009163,GO:0046129,GO:0009168,GO:0009206,GO:0009201,GO:0042451,GO:0042455,GO:1901566,GO:0006164,GO:0019438,GO:0009142,GO:0009145,GO:1901576,GO:1901362,GO:0018130,GO:0009156,GO:0009152,GO:0009260,GO:0034654,GO:0090407,GO:0015985,GO:0044271,GO:0046390,GO:0009058,GO:1901293,GO:0044249,GO:0009127,GO:0009124,GO:1901137,GO:0072522,GO:1901659,GO:0042777,GO:0016020,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0044425,GO:0043234,GO:0032991,GO:0045259,GO:0016469,GO:0045261,GO:0033178,GO:0071944,GO:0005886
COG0764	GO:0003824,GO:0016829,GO:0016836,GO:0016835,GO:0019171,GO:0047451,GO:0008693,GO:0016853,GO:0016863,GO:0016860,GO:0034017,GO:0016787,GO:0019213,GO:0008759,GO:0016810,GO:0016811,GO:0008152,GO:0044710,GO:1901576,GO:0006629,GO:0008610,GO:0071704,GO:0009058,GO:0044238,GO:0044249,GO:0009987,GO:0044255,GO:0044237,GO:0044281,GO:0044283,GO:0044711,GO:0032787,GO:0043436,GO:0016053,GO:0072330,GO:0046394,GO:0006633,GO:0006631,GO:0006082,GO:0019752,GO:0006664,GO:1901271,GO:0016051,GO:0019637,GO:0046493,GO:1901269,GO:0044723,GO:0090407,GO:0008654,GO:0009311,GO:0009312,GO:0046467,GO:0006644,GO:0006643,GO:0009245,GO:1901137,GO:1901135,GO:0009247,GO:0005975,GO:0006796,GO:0006793,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG1493	GO:0016301,GO:0016740,GO:0004672,GO:0003824,GO:0016773,GO:0016772,GO:0035639,GO:0005488,GO:0043167,GO:1901363,GO:0001883,GO:0001882,GO:0043168,GO:0000166,GO:1901265,GO:0032549,GO:0017076,GO:0005524,GO:0036094,GO:0030554,GO:0032559,GO:0032555,GO:0097159,GO:0032550,GO:0032553,GO:0038023,GO:0060089,GO:0004871,GO:0004673,GO:0000155,GO:0016775,GO:0004872,GO:0004674,GO:0043169,GO:0046872,GO:0000287,GO:0004712,GO:0006468,GO:0023014,GO:0016310,GO:0044267,GO:0044260,GO:0071704,GO:0009987,GO:0006464,GO:0043412,GO:0036211,GO:0008152,GO:0044238,GO:0019538,GO:0044237,GO:0043170,GO:0006796,GO:0006793,GO:0080090,GO:0019222,GO:0050789,GO:0051716,GO:0065007,GO:0044699,GO:0050794,GO:0044763,GO:0007154,GO:0050896,GO:0023052,GO:0007165,GO:0000160,GO:0044700,GO:0006109,GO:0005975
COG1010	GO:0008168,GO:0016740,GO:0016741,GO:0003824,GO:0008757,GO:0030789,GO:0016491,GO:0016627,GO:0016628,GO:0043115,GO:0032259,GO:0008152,GO:0044249,GO:0009987,GO:0009058,GO:0044237,GO:0044281,GO:0044283,GO:1901362,GO:1901360,GO:0044710,GO:0044711,GO:0006767,GO:0006766,GO:0046483,GO:1901564,GO:1901566,GO:0019438,GO:0006807,GO:1901576,GO:0033014,GO:0033013,GO:0018130,GO:0044271,GO:0034641,GO:0006725,GO:0042364,GO:0009236,GO:0009235,GO:0071704,GO:0009110,GO:0055114,GO:0051186,GO:0051188,GO:0006778,GO:0006779
COG1392	NA
COG0215	GO:0016874,GO:0003824,GO:0005488,GO:1901363,GO:0097159,GO:0043167,GO:0000166,GO:0035639,GO:0001883,GO:0001882,GO:0043168,GO:1901265,GO:0032549,GO:0017076,GO:0005524,GO:0036094,GO:0030554,GO:0032559,GO:0032555,GO:0032550,GO:0032553,GO:0004812,GO:0016875,GO:0016876,GO:0004817,GO:0046872,GO:0043169,GO:0008270,GO:0046914,GO:0016880,GO:0035446,GO:0016879,GO:0008152,GO:0009987,GO:0071704,GO:0044237,GO:0044249,GO:1901576,GO:0009058,GO:0044710,GO:0006418,GO:0044238,GO:0006412,GO:0019538,GO:0044267,GO:0044260,GO:0034645,GO:0043170,GO:0010467,GO:0009059,GO:0044281,GO:1901564,GO:0006807,GO:1901360,GO:0043436,GO:0046483,GO:0034641,GO:0006139,GO:0006725,GO:0006082,GO:0019752,GO:0006520,GO:0043038,GO:0034660,GO:0043039,GO:0016070,GO:0090304,GO:0006399,GO:0006423,GO:0044272,GO:0006790,GO:1901135,GO:1901657,GO:0010126,GO:0010125,GO:0051186,GO:0051188,GO:1901137,GO:0016137,GO:0016138,GO:1901659,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG0191	GO:0016832,GO:0003824,GO:0016829,GO:0016830,GO:0046872,GO:0005488,GO:0043169,GO:0046914,GO:0008270,GO:0043167,GO:0004332,GO:0009025,GO:0005975,GO:0008152,GO:0071704,GO:0044238,GO:0009987,GO:0044237,GO:1901575,GO:0009056,GO:0016052,GO:0044723,GO:0044724,GO:0005996,GO:0019320,GO:0019318,GO:0006006,GO:0006007,GO:0046365,GO:0006091,GO:0006096,GO:0006796,GO:0006793,GO:0019637,GO:1901135,GO:0030388
COG0461	GO:0003824,GO:0016740,GO:0016757,GO:0016763,GO:0004588,GO:0005488,GO:0043167,GO:0043169,GO:0046872,GO:0000287,GO:0016829,GO:0016830,GO:0016831,GO:0004590,GO:0008152,GO:0009987,GO:1901360,GO:0044710,GO:0046483,GO:1901564,GO:0044281,GO:0006807,GO:0034641,GO:0006139,GO:0006725,GO:0055086,GO:0071704,GO:0044238,GO:0044237,GO:0009116,GO:0006221,GO:0072527,GO:1901362,GO:1901566,GO:1901576,GO:0018130,GO:0044271,GO:0044249,GO:0072528,GO:0009058,GO:0019438,GO:0034654,GO:1901135,GO:0009165,GO:0019637,GO:0090407,GO:1901293,GO:0006753,GO:0006220,GO:0006793,GO:0009117,GO:0006796,GO:1901657,GO:1901137,GO:0009163,GO:0046134,GO:0046131,GO:0042455,GO:0046132,GO:0006213,GO:0009119,GO:1901659,GO:0009218,GO:0009260,GO:0046390,GO:0009259,GO:0006222,GO:0019693,GO:0009220,GO:0009161,GO:0009174,GO:0009173,GO:0009156,GO:0009129,GO:0009123,GO:0009124,GO:0009130,GO:0046049,GO:0044205,GO:0006206,GO:0009112,GO:0019856,GO:0046112,GO:0006207
COG1210	GO:0016779,GO:0016740,GO:0003824,GO:0016772,GO:0003983,GO:0051748,GO:0070569,GO:0009058,GO:0008152,GO:0009987,GO:0044237,GO:0006796,GO:0006793,GO:0034641,GO:0006807,GO:0044281,GO:1901360,GO:0006139,GO:0044710,GO:0071704,GO:0009225,GO:0006725,GO:0009117,GO:0055086,GO:0046483,GO:0044238,GO:1901135,GO:0019637,GO:0006753,GO:0006011
COG0113	GO:0003824,GO:0016829,GO:0016835,GO:0016836,GO:0004655,GO:0046872,GO:0005488,GO:0043169,GO:0043167,GO:0033014,GO:0008152,GO:0009987,GO:1901362,GO:1901360,GO:1901564,GO:0046483,GO:0019438,GO:0006807,GO:1901576,GO:0033013,GO:0018130,GO:0044271,GO:0044249,GO:0034641,GO:1901566,GO:0006725,GO:0071704,GO:0009058,GO:0044237,GO:0006779,GO:0006778,GO:0051186,GO:0051188
COG0137	GO:0016874,GO:0003824,GO:0004055,GO:0016879,GO:0005488,GO:0000166,GO:0035639,GO:0043167,GO:1901363,GO:1901265,GO:0001882,GO:0043168,GO:0001883,GO:0032549,GO:0017076,GO:0005524,GO:0036094,GO:0030554,GO:0097159,GO:0032559,GO:0032555,GO:0032550,GO:0032553,GO:0008152,GO:0009987,GO:0044281,GO:0044710,GO:1901564,GO:0006807,GO:0071704,GO:0044237,GO:0043436,GO:0006082,GO:0019752,GO:0006520,GO:0044238,GO:1901576,GO:0044249,GO:1901566,GO:0009058,GO:0008652,GO:1901605,GO:0044283,GO:0044711,GO:0016053,GO:0009064,GO:0046394,GO:1901607,GO:0009084,GO:0006526,GO:0006525,GO:0044464,GO:0005623,GO:0005622,GO:0005737,GO:0044424
COG0192	GO:0016740,GO:0016765,GO:0003824,GO:0004478,GO:0005488,GO:0043167,GO:0000166,GO:0035639,GO:1901363,GO:0001883,GO:0001882,GO:0043168,GO:1901265,GO:0032549,GO:0017076,GO:0036094,GO:0097159,GO:0032555,GO:0032550,GO:0032553,GO:0005524,GO:0030554,GO:0032559,GO:0046872,GO:0043169,GO:0000287,GO:0008152,GO:0009987,GO:0071704,GO:0044237,GO:0044710,GO:0044281,GO:0044238,GO:0043436,GO:1901564,GO:0006807,GO:0006082,GO:0019752,GO:0006520,GO:0006790,GO:1901576,GO:0044249,GO:0009058,GO:0034641,GO:1901362,GO:1901360,GO:0044711,GO:0019438,GO:0006725,GO:0044283,GO:0042451,GO:0046500,GO:0046129,GO:0046128,GO:0042455,GO:0046483,GO:0006575,GO:1901566,GO:0016053,GO:0009163,GO:0042398,GO:0051186,GO:0051188,GO:0018130,GO:0034654,GO:0008652,GO:0044271,GO:0044272,GO:0046394,GO:0006732,GO:0006139,GO:0042278,GO:0055086,GO:1901137,GO:1901135,GO:0009108,GO:0072521,GO:0072522,GO:0009116,GO:0009119,GO:0006556,GO:1901657,GO:1901659,GO:0006730,GO:0015975,GO:0055114,GO:0009061,GO:0043447,GO:0043446,GO:0045333,GO:0015980,GO:0006091,GO:0015947,GO:0015948,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0005737
COG0274	GO:0003824,GO:0016829,GO:0004139,GO:0016832,GO:0016830,GO:0008152,GO:0071704,GO:0044238,GO:1901575,GO:0009987,GO:0009056,GO:0044237,GO:0044281,GO:1901360,GO:0044710,GO:0046483,GO:1901136,GO:0006807,GO:0019637,GO:0034641,GO:0006139,GO:0006725,GO:0055086,GO:1901135,GO:0006796,GO:0006793,GO:0046434,GO:0019439,GO:1901361,GO:0046700,GO:0034655,GO:0044270,GO:0006753,GO:0044248,GO:0009117,GO:0009166,GO:0009262,GO:0009264,GO:1901292,GO:0046386,GO:0019692,GO:0005975,GO:0016052,GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
COG0205	GO:0016301,GO:0003824,GO:0016740,GO:0016772,GO:0008443,GO:0019200,GO:0016773,GO:0003872,GO:0005488,GO:0043167,GO:0000166,GO:1901363,GO:0097159,GO:0001883,GO:0001882,GO:0043168,GO:1901265,GO:0032549,GO:0017076,GO:0036094,GO:0032555,GO:0032550,GO:0032553,GO:0035639,GO:0005524,GO:0030554,GO:0032559,GO:0043169,GO:0046872,GO:0047334,GO:0008152,GO:0009987,GO:0044237,GO:0071704,GO:0006796,GO:0006793,GO:0044238,GO:0005975,GO:0016310,GO:0044262,GO:0046835,GO:0016052,GO:1901575,GO:0044723,GO:0044724,GO:0009056,GO:0019320,GO:0019318,GO:0005996,GO:0006006,GO:0006007,GO:0046365,GO:0006091,GO:0006096,GO:0019637,GO:1901135,GO:0006002,GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0044444,GO:0005829,GO:0005945,GO:0043234,GO:0032991,GO:0044445
COG0378	GO:0005488,GO:0043167,GO:0016151,GO:0043169,GO:0046914,GO:0046872,GO:0016787,GO:0017111,GO:0003824,GO:0016818,GO:0016817,GO:0016462,GO:0003924,GO:1901363,GO:0036094,GO:0097159,GO:0000166,GO:1901265,GO:0001882,GO:0032549,GO:0035639,GO:0001883,GO:0043168,GO:0017076,GO:0032555,GO:0032550,GO:0032553,GO:0005524,GO:0030554,GO:0032559,GO:0016530,GO:0019001,GO:0032561,GO:0005525,GO:0006184,GO:0008152,GO:0009987,GO:0071704,GO:0044237,GO:0044238,GO:0006807,GO:0044281,GO:0044710,GO:1901564,GO:0034641,GO:1901565,GO:1901575,GO:0044270,GO:0044248,GO:0009056,GO:0046434,GO:0009166,GO:0009164,GO:0046130,GO:1901360,GO:1901361,GO:0009199,GO:0042454,GO:0009207,GO:0009205,GO:0046128,GO:0046483,GO:0006163,GO:0019637,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0006195,GO:0009154,GO:0046700,GO:0009261,GO:0019439,GO:0034655,GO:0009150,GO:1901292,GO:0006753,GO:0009259,GO:0006139,GO:0042278,GO:0006725,GO:0055086,GO:1901136,GO:1901135,GO:0019693,GO:0072521,GO:0009203,GO:0072523,GO:0006152,GO:0009117,GO:0009116,GO:0009119,GO:1901657,GO:0006796,GO:0006793,GO:1901658,GO:0046039,GO:1901069,GO:1901068,GO:0065003,GO:0022607,GO:0016043,GO:0071840,GO:0070271,GO:0043933,GO:0071822,GO:0006461,GO:0044085,GO:0005737,GO:0044464,GO:0005623,GO:0005622,GO:0044424
ENOG4112AMX	NA
COG0501	GO:0008233,GO:0016787,GO:0003824,GO:0008237,GO:0070011,GO:0004175,GO:0004222,GO:0005488,GO:0043167,GO:0043169,GO:0046872,GO:0046914,GO:0008270,GO:0008152,GO:0006508,GO:0019538,GO:0044238,GO:0043170,GO:0071704,GO:0050896,GO:0006950,GO:0009987,GO:0044237,GO:0044267,GO:0044260,GO:0051604,GO:0010467,GO:0016485,GO:0080120,GO:0071586,GO:0016020,GO:0044464,GO:0005623,GO:0044425,GO:0031224,GO:0016021,GO:0071944,GO:0005886
COG5229	GO:0007067,GO:0009987,GO:0044699,GO:0007049,GO:0044763,GO:0071840,GO:0016043,GO:0008152,GO:0030261,GO:0000280,GO:0022402,GO:0000278,GO:0006996,GO:0044238,GO:0051276,GO:0044237,GO:0048285,GO:0046483,GO:0006807,GO:0034641,GO:0006139,GO:0006725,GO:0043170,GO:0090304,GO:1901360,GO:0071704,GO:0071103,GO:0044260,GO:0006323,GO:0006259,GO:0051301,GO:0000070,GO:0007059,GO:0000819,GO:0007076,GO:0043229,GO:0043226,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0043228,GO:0005694,GO:0043232,GO:0000793,GO:0044446,GO:0044427,GO:0044422,GO:0000796,GO:0043234,GO:0032991,GO:0005737,GO:0005856,GO:0015630
COG0101	GO:0003824,GO:0016853,GO:0016866,GO:0009982,GO:0005488,GO:0003676,GO:1901363,GO:0097159,GO:0003723,GO:0016829,GO:0001522,GO:0008152,GO:0009451,GO:1901360,GO:0046483,GO:0006807,GO:0044260,GO:0016070,GO:0034641,GO:0006139,GO:0009987,GO:0006725,GO:0043170,GO:0090304,GO:0071704,GO:0044238,GO:0044237,GO:0043412,GO:0008033,GO:0034660,GO:0010467,GO:0006396,GO:0034470,GO:0006399,GO:0006400,GO:0031119
COG1358	GO:0005488,GO:0003676,GO:1901363,GO:0097159,GO:0003723,GO:0005198,GO:0003735,GO:0071840,GO:0042254,GO:0022613,GO:0044085,GO:0009987,GO:0008152,GO:0071704,GO:0044238,GO:0043170,GO:0044237,GO:0044260,GO:0010467,GO:0019538,GO:0044267,GO:0009059,GO:0044249,GO:0034645,GO:1901576,GO:0009058,GO:0006412,GO:0005622,GO:0044464,GO:0005623,GO:0044424,GO:0030529,GO:0032991,GO:0043229,GO:0043226,GO:0043228,GO:0043232,GO:0005737,GO:0005840,GO:0044444,GO:0044446,GO:0044422,GO:0005634,GO:0043227,GO:0043231,GO:0044428,GO:0031974,GO:0031981,GO:0043233,GO:0070013,GO:0005730
COG2026	NA
COG2302	GO:0097159,GO:0003723,GO:0003676,GO:1901363,GO:0005488
COG1386	GO:0022402,GO:0051304,GO:0007049,GO:0009987,GO:0044763,GO:0007059,GO:0044699,GO:0051301,GO:0008152,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0034645,GO:0006139,GO:0044260,GO:1901360,GO:0071704,GO:0006260,GO:1901576,GO:0006725,GO:0009058,GO:0009059,GO:0046483,GO:0044238,GO:0044237,GO:0043170,GO:0006259,GO:0005737,GO:0044424,GO:0044464,GO:0005623,GO:0005622
COG1695	NA
COG1737	GO:0001071,GO:0003700,GO:0030246,GO:0005488,GO:0080090,GO:0019222,GO:0060255,GO:2001141,GO:0050789,GO:0065007,GO:0009889,GO:0050794,GO:0006355,GO:0010556,GO:0051252,GO:0031326,GO:0031323,GO:2000112,GO:0010468,GO:0019219,GO:0051171,GO:0008152,GO:0071704,GO:0044238,GO:0005975
COG1827	GO:0005488,GO:0036094
ENOG410XQWR	GO:0003700,GO:0001071,GO:0043565,GO:0097159,GO:0005488,GO:0003676,GO:0003677,GO:1901363,GO:0019222,GO:0031326,GO:0031323,GO:0050789,GO:0080090,GO:2000112,GO:0060255,GO:0065007,GO:0010468,GO:0019219,GO:0009889,GO:0050794,GO:0051171,GO:2001141,GO:0051252,GO:0006355,GO:0010556,GO:0032774,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0034645,GO:1901362,GO:1901360,GO:0006139,GO:0044260,GO:0071704,GO:0010467,GO:0018130,GO:1901576,GO:0006725,GO:0009987,GO:0009058,GO:0009059,GO:0008152,GO:0034654,GO:0046483,GO:0016070,GO:0044238,GO:0044271,GO:0044237,GO:0043170,GO:0006351,GO:0019438,GO:0044464,GO:0005623,GO:0005622
ENOG410Y4UR	GO:0080090,GO:0019222,GO:0019219,GO:0031323,GO:2001141,GO:0051252,GO:0009889,GO:0050789,GO:0006355,GO:0010556,GO:0065007,GO:0051171,GO:0031326,GO:0060255,GO:0050794,GO:0010468,GO:2000112
ENOG410YHFF	GO:0097159,GO:0000166,GO:0036094,GO:0005488,GO:1901363,GO:1901265,GO:0003700,GO:0001071,GO:0003824,GO:0016740,GO:0016741,GO:0008168,GO:0043169,GO:0046872,GO:0046914,GO:0008270,GO:0043167,GO:0080090,GO:0019222,GO:0019219,GO:0031323,GO:2001141,GO:0051252,GO:0009889,GO:0050789,GO:0006355,GO:0010556,GO:0065007,GO:0051171,GO:0031326,GO:0060255,GO:0050794,GO:0010468,GO:2000112,GO:0032259,GO:0008152
ENOG410YWYF	GO:0097159,GO:1901363,GO:0005488,GO:0003676,GO:0003677
ENOG4111ACK	GO:0097159,GO:0003676,GO:0003677,GO:1901363,GO:0005488,GO:0003700,GO:0001071,GO:0043565,GO:0080090,GO:0019222,GO:0031326,GO:0031323,GO:0050789,GO:2000112,GO:0060255,GO:0065007,GO:0010468,GO:0019219,GO:0009889,GO:0050794,GO:0051171,GO:2001141,GO:0051252,GO:0006355,GO:0010556,GO:0009891,GO:0031325,GO:0051173,GO:0010628,GO:0009893,GO:0009719,GO:0009737,GO:0010604,GO:0033993,GO:0031328,GO:0048518,GO:0045935,GO:0042221,GO:0010033,GO:1901700,GO:0009725,GO:0050896,GO:0051254,GO:0010557,GO:0048522,GO:0097305,GO:0045893,GO:0043231,GO:0005634,GO:0044464,GO:0005623,GO:0005622,GO:0043229,GO:0044424,GO:0043227,GO:0043226
ENOG4111JBB	GO:0097159,GO:1901363,GO:0005488,GO:0003676,GO:0003677,GO:0032774,GO:0019222,GO:0031326,GO:0031323,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0034645,GO:1901362,GO:0050789,GO:1901360,GO:0080090,GO:0006139,GO:0044260,GO:0071704,GO:2000112,GO:0060255,GO:0010467,GO:0065007,GO:0010468,GO:0018130,GO:1901576,GO:0019219,GO:0006725,GO:0009987,GO:0009889,GO:0050794,GO:0009058,GO:0009059,GO:0051171,GO:0008152,GO:2001141,GO:0034654,GO:0046483,GO:0016070,GO:0044238,GO:0044271,GO:0051252,GO:0044237,GO:0043170,GO:0006355,GO:0010556,GO:0006351,GO:0019438
ENOG4111K02	GO:0003700,GO:0097159,GO:0000988,GO:0016987,GO:0001071,GO:0003676,GO:0003677,GO:0000990,GO:1901363,GO:0000996,GO:0005488,GO:0032774,GO:0019222,GO:0031326,GO:0031323,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0034645,GO:1901362,GO:0050789,GO:1901360,GO:0080090,GO:0006139,GO:0044260,GO:0071704,GO:2000112,GO:0060255,GO:0010467,GO:0065007,GO:0010468,GO:0018130,GO:1901576,GO:0019219,GO:0006725,GO:0009987,GO:0009889,GO:0050794,GO:0009058,GO:0009059,GO:0051171,GO:0008152,GO:2001141,GO:0034654,GO:0046483,GO:0016070,GO:0044238,GO:0044271,GO:0051252,GO:0044237,GO:0043170,GO:0006355,GO:0010556,GO:0006351,GO:0006352,GO:0019438
ENOG4111MW5	GO:0097159,GO:1901363,GO:0005488,GO:0003676,GO:0003677,GO:0032774,GO:0019222,GO:0031326,GO:0031323,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0034645,GO:1901362,GO:0050789,GO:1901360,GO:0080090,GO:0006139,GO:0044260,GO:0071704,GO:2000112,GO:0060255,GO:0010467,GO:0065007,GO:0010468,GO:0018130,GO:1901576,GO:0019219,GO:0006725,GO:0009987,GO:0009889,GO:0050794,GO:0009058,GO:0009059,GO:0051171,GO:0008152,GO:2001141,GO:0034654,GO:0046483,GO:0016070,GO:0044238,GO:0044271,GO:0051252,GO:0044237,GO:0043170,GO:0006355,GO:0010556,GO:0006351,GO:0019438
ENOG4111VSN	GO:0003700,GO:0001071,GO:0080090,GO:0019222,GO:0019219,GO:0031323,GO:2001141,GO:0051252,GO:0009889,GO:0050789,GO:0006355,GO:0010556,GO:0065007,GO:0051171,GO:0031326,GO:0060255,GO:0050794,GO:0010468,GO:2000112,GO:0044464,GO:0005623,GO:0005622
ENOG41127GI	GO:0097159,GO:1901363,GO:0005488,GO:0003676,GO:0003677,GO:0032774,GO:0019222,GO:0031326,GO:0031323,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0034645,GO:1901362,GO:0050789,GO:1901360,GO:0080090,GO:0006139,GO:0044260,GO:0071704,GO:2000112,GO:0060255,GO:0010467,GO:0065007,GO:0010468,GO:0018130,GO:1901576,GO:0019219,GO:0006725,GO:0009987,GO:0009889,GO:0050794,GO:0009058,GO:0009059,GO:0051171,GO:0008152,GO:2001141,GO:0034654,GO:0046483,GO:0016070,GO:0044238,GO:0044271,GO:0051252,GO:0044237,GO:0043170,GO:0006355,GO:0010556,GO:0006351,GO:0019438
COG0122	GO:0003824,GO:0003677,GO:0005488,GO:1901363,GO:0003676,GO:0097159,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0008534,GO:0003906,GO:0016829,GO:0016835,GO:0000702,GO:0003684,GO:0003905,GO:0016740,GO:0008168,GO:0016741,GO:0001071,GO:0043565,GO:0043167,GO:0003700,GO:0008270,GO:0046872,GO:0046914,GO:0043169,GO:0043733,GO:0008725,GO:0043916,GO:0052822,GO:0052821,GO:0008152,GO:0006281,GO:0050896,GO:0006950,GO:0009987,GO:0044699,GO:0006974,GO:0044763,GO:1901360,GO:0051716,GO:0046483,GO:0006807,GO:0044260,GO:0034641,GO:0006139,GO:0044238,GO:0006725,GO:0043170,GO:0090304,GO:0071704,GO:0044237,GO:0033554,GO:0006259,GO:0006284,GO:0032259,GO:0006289,GO:0050789,GO:0065007,GO:0050794,GO:0080090,GO:0019222,GO:0060255,GO:2001141,GO:0009889,GO:0006355,GO:0010556,GO:0051252,GO:0031326,GO:0031323,GO:2000112,GO:0010468,GO:0019219,GO:0051171,GO:1901362,GO:0009058,GO:0019438,GO:1901576,GO:0018130,GO:0034654,GO:0016070,GO:0044271,GO:0006351,GO:0032774,GO:0044249,GO:0034645,GO:0010467,GO:0009059,GO:0044464,GO:0005623,GO:0005622
COG0270	GO:0008168,GO:0003824,GO:0016740,GO:0016741,GO:0003677,GO:0005488,GO:0003676,GO:1901363,GO:0097159,GO:0009008,GO:0008757,GO:0003886,GO:0090116,GO:0006306,GO:0008152,GO:0032259,GO:0009987,GO:0050789,GO:0065007,GO:0019222,GO:0060255,GO:0044260,GO:0043170,GO:0071704,GO:0010468,GO:0044238,GO:0044237,GO:1901360,GO:0046483,GO:0006807,GO:0043412,GO:0034641,GO:0006139,GO:0006725,GO:0090304,GO:0006304,GO:0043414,GO:0006259,GO:0040029,GO:0006305,GO:0044728,GO:0032776,GO:0050896,GO:0006950,GO:0044355,GO:0009307,GO:0006952,GO:0043229,GO:0043226,GO:0005634,GO:0044464,GO:0005623,GO:0005622,GO:0044424,GO:0043227,GO:0043231
